gene,vP0_1,vP0_2,vP4_1,vP4_2,vP7_1,vP7_2,vAd_1,vAd_2
ENSMUSG00000051951.6,1.19009202,1.328321355,1.061289864,0.962002105,1.491657118,1.046636829,0.395416133,0.312095193
ENSMUSG00000102851.2,0,0,0,0,0.087744536,0,0,0
ENSMUSG00000103377.2,0.062636422,0,0,0.056588359,0,0.087219736,0.056488019,0
ENSMUSG00000104017.2,0,0.166040169,0,0,0,0.087219736,0,0
ENSMUSG00000103201.2,0,0,0,0,0,0,0,0.062419039
ENSMUSG00000103161.2,0,0,0.062428816,0,0,0,0,0
ENSMUSG00000102331.2,0.313182111,0.442773785,0.124857631,0.339530155,0.526467218,0.959417093,0.225952076,0.187257116
ENSMUSG00000102343.2,0,0,0,0.056588359,0,0,0,0
ENSMUSG00000025900.14,0.250545689,0.166040169,0.374572893,0.396118514,0.614211754,0.261659207,2.033568683,2.184666351
ENSMUSG00000102948.2,0.062636422,0,0,0,0,0,0,0.062419039
ENSMUSG00000025902.14,12.21410231,10.2944905,12.73547837,12.95873424,13.77589221,15.08901428,11.07165172,8.05205598
ENSMUSG00000104238.2,0,0.221386893,0,0.113176718,0.350978145,0.087219736,0.169464057,0.187257116
ENSMUSG00000102269.2,0.438454955,0.88554757,0.374572893,0.339530155,0.350978145,0.523318414,0.451904152,0.187257116
ENSMUSG00000118917.1,0,0.055346723,0,0,0.087744536,0.087219736,0,0
ENSMUSG00000104328.2,0.062636422,0,0,0.056588359,0,0,0,0.124838077
ENSMUSG00000102735.2,0,0,0,0,0.087744536,0,0,0
ENSMUSG00000098104.2,0.062636422,0.276733616,0,0.056588359,0.263233609,0.174439471,0.112976038,0.187257116
ENSMUSG00000102175.2,0.062636422,0.055346723,0.124857631,0.113176718,0,0,0,0.062419039
ENSMUSG00002075947.1,0,0,0.062428816,0.113176718,0,0.087219736,0,0
ENSMUSG00000103265.2,0,0.055346723,0.124857631,0.056588359,0,0,0,0.062419039
ENSMUSG00000103922.2,1.315364865,0.830200847,1.498291573,0.848825387,0.614211754,1.482735507,1.073272361,1.498056927
